pc,id,cascade,call,processArgument,fonte_oracolo,oracolo,nota
gestito,non null,presente,null,--,ipotesi,"nessuna modifica: pc resta quello gia' gestito, id ignorato","gia' gestito: nessuna fonte lo documenta, si assume un no-op (id non applicabile a un'istanza che ne ha gia' una)"
gestito,non null,presente,non null,azione,ipotesi,"nessuna modifica: pc resta quello gia' gestito, id ignorato",il codice azione non ha effetto noto: il risultato non cambia
gestito,non null,presente,non null,eccezione,inferenza,eccezione propagata da persist,l'eccezione di processArgument si propaga
gestito,non null,assente,null,--,ipotesi,"nessuna modifica: pc resta quello gia' gestito, id ignorato","gia' gestito: nessuna fonte lo documenta, si assume un no-op (id non applicabile a un'istanza che ne ha gia' una)"
gestito,non null,assente,non null,azione,ipotesi,"nessuna modifica: pc resta quello gia' gestito, id ignorato",il codice azione non ha effetto noto: il risultato non cambia
gestito,non null,assente,non null,eccezione,inferenza,eccezione propagata da persist,l'eccezione di processArgument si propaga
non gestito,null,presente,non null,azione(ACT_CASCADE),osservazione,persist ritorna null,"approfondimento azione: ACT_CASCADE coincide con ACT_NONE, resta null"
non gestito,null,presente,non null,azione(ACT_RUN),osservazione,"state manager non-null, id di default assegnato","approfondimento azione: solo ACT_RUN crea davvero lo state manager e rende persistente l'istanza"
non gestito,null,assente,non null,azione(ACT_CASCADE),osservazione,persist ritorna null,"approfondimento azione: ACT_CASCADE coincide con ACT_NONE, resta null"
non gestito,null,assente,non null,azione(ACT_RUN),osservazione,"state manager non-null, id di default assegnato","approfondimento azione: solo ACT_RUN crea davvero lo state manager e rende persistente l'istanza"
non gestito,non null,presente,non null,azione(ACT_CASCADE),osservazione,persist ritorna null,"approfondimento azione: ACT_CASCADE coincide con ACT_NONE, resta null"
non gestito,non null,presente,non null,azione(ACT_RUN),osservazione,"state manager non-null, con l'id specificato assegnato","approfondimento azione: solo ACT_RUN crea davvero lo state manager e rende persistente l'istanza"
non gestito,non null,assente,non null,azione(ACT_CASCADE),osservazione,persist ritorna null,"approfondimento azione: ACT_CASCADE coincide con ACT_NONE, resta null"
non gestito,non null,assente,non null,azione(ACT_RUN),osservazione,"state manager non-null, con l'id specificato assegnato","approfondimento azione: solo ACT_RUN crea davvero lo state manager e rende persistente l'istanza"
