objs,copyNew,call,processArgument,fonte_oracolo,oracolo,nota
all new,true,non null,azione (ACT_CASCADE),osservazione,eccezione (NullPointerException interno),"aggiunta: ACT_CASCADE senza ACT_RUN prova comunque il cascade sui campi correlati, ma un elemento mai gestito non ha uno StateManager da cui leggere i campi caricati; AttachManager non gestisce questo caso, propaga la NullPointerException"
all new,true,non null,azione (ACT_RUN),osservazione,"istanza persistita come nuova, copia dell'originale","aggiunta: ACT_RUN si comporta come l'assenza di callback, stesso esito della riga con pArg=--"
all old,true,non null,azione (ACT_CASCADE),osservazione,eccezione (NullPointerException interno),"aggiunta: stessa causa di ""all new"": l'elemento scollegato non ha ancora uno StateManager quando ACT_CASCADE prova il cascade sui campi"
all old,true,non null,azione (ACT_RUN),osservazione,istanza persistente esistente con le modifiche mergiate,"aggiunta: ACT_RUN si comporta come l'assenza di callback, stesso esito della riga con pArg=--"
all attached,true,non null,azione (ACT_CASCADE),osservazione,elemento invariato (nessun attach eseguito),"aggiunta: a differenza di ""all new""/""all old"", l'elemento e' gia' gestito e ha uno StateManager reale: il cascade sui campi (vuoti) non solleva eccezione, l'elemento resta invariato come con ACT_NONE"
all attached,true,non null,azione (ACT_RUN),osservazione,"istanza persistita come nuova, copia dell'originale","aggiunta: ACT_RUN si comporta come l'assenza di callback, stesso esito della riga con pArg=--"
misti: validi eterogenei,true,non null,azione (ACT_CASCADE),osservazione,eccezione (NullPointerException interno),"aggiunta: l'elemento new nella coppia non ha uno StateManager, stessa causa della riga ""all new"""
misti: validi eterogenei,true,non null,azione (ACT_RUN),osservazione,entrambi gli elementi pienamente processati secondo il proprio ramo,"aggiunta: ACT_RUN si comporta come l'assenza di callback, stesso esito della riga con pArg=--"
misti: almeno 1 invalido,true,non null,azione (ACT_CASCADE),osservazione,eccezione (NullPointerException interno),"aggiunta: l'elemento new nella coppia non ha uno StateManager, stessa causa della riga ""all new"""
misti: almeno 1 invalido,true,non null,azione (ACT_RUN),osservazione,eccezione (tipo non specificato),"aggiunta: ACT_RUN si comporta come l'assenza di callback, stesso esito della riga con pArg=--"
